eng,darija
dishes,mma3n
air conditioner,clim
problem,mochkil
handshake,tsalim
accent,lhja
accident,ksida
airplane,tyyara
alien,fada2i
adventure,moghamara
advice,nasi7a
effect,atar
age,3mr
antenna,lantir
feeling,i7sas
balloon,nffakha
behavior,tasrrof
bell,sonit
basic,asasi
best,a7san
birth,wlada
death,mout
death,wafat
birthday,3idmilad
feast,3id
party,7fla
bite,3dda
blanket,mlaya
blanket,manta
coverage,ghta
bucket,stl
see you,nchoufouk
bodyguard,gardkor
boss,chaff
bottle,9r3a
box,sndo9
boat,flouka
first name,smia
last name,knia
cause,sabab
television,tlfaza
depth,3om9
change,tghyir
step,khtwa
method,tari9a
start,bidaya
end,nihaya
story,9issa
saw,mnchar
truth,sara7a
example,mital
mark,3alama
interest,msla7a
travel,safar
human being,bachar
fight,mdarba
fight,mdabza
fight,mtayfa
fraction,trf
wall,7it
position,maw9if
widow,armala
wisdom,7kma
proverb,mtla
job,khdma
male,dakar
female,ounta
trip,ri7la
symbol,rmz
case,7aala
key,sarout
village,vilaj
type,nou3
value,9yma
sense,m3na
danger,khatar
soldier,3skri
rail,skka
search,t9lab
connection,ttisal
call,mokalama
enemy,3adow
smoke,dkhan
steam,bokhar
path,masar
dream,7lma
double,ddoble
camp,mokhyyam
truck,kamio
floor,itaj
door,bab
ceiling,s9f
roof,sta7
elevator,sansour
balcony,banko
rent,kra
furniture,frach
curtain,khamia
remote control,tilikomond
lamp,bola
carpet,zrbia
lighter,brika
broom,chttaba
pillow,mkhdda
mirror,mraya
comb,mchta
shower,douch
toilet,kabina
toilet paper,papijinik
sink,lavabo
towel,fota
soap,sabon
fridge,tllaja
oven,frran
hammer,mtr9a
nail,msmar
speed bumps,dodan
sewer,srb
crowdedness,z7am
mess,rwina
trash,zbl
wheel,rwida
brake,fran
driver s license,pirmi
driver,chifor
visit,zyara
tears,dmou3
people,nas
life,7ayat
teenager,morahi9
young,chabb
youth,chabab
man,rajl
woman,mra
men,rjal
women,3yalat
twins,twam
wedding,3rs
dowry,sda9
fiancee,khatiba
bride,3rousa
divorce,tla9
society,mojtama3
civilization,7adara
tribe,9bila
review,moraja3a
identity,howia
statement,tsri7
declaration,i3lan
decision,9arar
petition,3aryda
initiative,mobaadara
suggestion,9tira7
plan,khotta
choice,khtiar
friendship,sadaa9a
charity,sada9a
tragedy,mosiba
disaster,karita
mission,mohimma
traitor,kha2in
terrorism,irhab
necessity,daroura
talent,mawhiba
sanction,3o9oba
hostage,rahina
possibility,imkania
probability,7timal
phase,mr7ala
mentality,39lia
panic,khl3a
credibility,misda9ia
reputation,som3a
morale,m3nawiat
awareness,wa3y
distortion,tchwih
benefit,mzyya
benefit,fayda
utility,nf3
quantity,kimmia
trap,fkh
coordination,tnsi9
activity,nachaat
victim,da7yya
accused,mottaham
arrest,3ti9al
confession,3tiraf
trial,mo7akama
witness,chahid
proof,dalil
guilty,modnib
innocent,bari2
theft,chfra
aggression,grisaj
robbery,sr9a
drug,ladrog
rape,ghtisab
murder,9tila
bribery,rchwa
fraud,7tyal
sentence,7okm
death penalty,i3dam
hanging,chn9
chain,snsla
government,7okoma
politics,syasa
party,7izb
illegal immigrant,7rrag
immigrant,mohajir
colonization,sti3mar
mayor,3omda
prince,amir
delegation,wfd
association,jm3ia
ministry,wizara
slogan,chi3ar
opinion,ra2y
half,nss
corruption,fasad
security,amn
safety,salama
protection,7imaya
equality,mosawat
independence,sti9lal
sovereignty,syada
justice,3adaala
tolerance,tasamo7
coexistence,ta3ayouch
freedom,7orria
dignity,karama
conscience,damir
principle,mbde2
morals,akhla9
standard,mi3yar
insult,m3your
oppression,dolm
repression,9m3
discrimination,tmyiz
racism,3onsoria
torture,t3dib
massacre,mjzara
massacre,mdba7a
genocide,ibada
prostitution,da3ara
harassment,nggan
slavery,3oboudia
coup,n9ilab
conflict,sira3
resistance,mo9awama
occupation,7tilal
weapon,sla7
sword,sif
baton,hrawa
nuclear,nawawi
bomb,9nbola
explosion,tfrgi3
suicide,nti7ar
martyr,chhid
grave,9br
tank,dbbaba
loss,khasara
surrender,stistlam
time,we9t
world,3alam
part,terf
course,ders
system,system
group,mjmo3a
information,m3loma
fact,7a9i9a
money,flouss
business,gharad
night,lil
area,jiha
thing,7aja
head,rass
hand,yed
order,tertib
order,nidam
development,tatawwor
development,tanmia
week,simana
country,dowla
council,majliss
use,sti3mal
service,khidma
service,serbiss
court,me7kama
lot,jma3a
police,boliss
form,formulaire
education,terbia
policy,siyassa
research,ba7t
sort,retteb
office,mekteb
body,jism
person,chakhs
health,se77a
mother,oum
mother,walida
question,so2al
period,mer7ala
level,mostawa
child,derri sghir
child,berhouch
control,ta7akkom
view,mender
line,str
god,ilah
god,reb
father,ab
father,walid
centre,merkerz
staff,lkheddama
management,tasyir
act,f3la
west,gharb
support,da3m
moment,la7da
report,t9rir
mind,39el
church,kanisa
morning,sba7
industry,sina3a
land,2ard
care,3inaya
century,9arn
back,llour
trade,tabadol
study,9raya
street,zen9a
rate,no9ta
word,kelma
food,makla
result,natija
other,akhor
sir,ssi
authority,solta
role,dawr
price,taman
class,classe
subject,mawdo3
union,itti7ad
bank,banka
need,i7tiyaj
east,sher9
practice,tdrib
paper,wer9a
paper,kaghit
date,tmer
date,rendez vous
figure,ra9m
president,ra2is
club,nadi
quality,jawda
voice,sot
lord,moulay
stage,khashaba
tax,dariba
production,intaj
march,massira
march,chher tlata
secretary,sekritira
art,fen
may,chher khmsa
month,chher
music,mosi9a
field,2ard fila7ia
field,tiran
award,ja2iza
issue,ms2ala
project,mchro3
chapter,fasl
game,lo3ba
amount,kimmiya
basis,2asas
knowledge,ma3rifa
approach,mo9araba
series,moselsal
love,7ob
news,akhbar
front,goddam
future,mosta9bal
account,7isab
computer,pc
computer,ordinateur
rest,ra7a
labour,khedma
structure,binaya
hair,ch3er
bill,mchro3 9anon
bill,factoura
heart,9elb
attention,3ndak
success,naja7
letter,risala
agreement,ittifa9
population,sokkan
environment,mo7it
performance,2ada2
model,model
material,materiel
theory,nazaria
growth,nomow
chance,zher
relationship,3ala9a
record,tsjil
size,9yas
property,mlk
space,fada2
space,missa7a
term,mostala7
behaviour,tasarrof
treatment,3ilaj
treatment,mo3amala
energy,ta9a
income,dakhl
scheme,mokhtat
design,design
pressure,daght
hall,sala
couple,couple
technology,tiknologia
defence,difa3
list,la2i7a
contract,contra
contract,3a9d
county,mo9ata3a
difference,fer9
hotel,2otil
sun,shmsh
product,produit
product,mntouj
colour,loun
unit,w7da
park,jerda
hour,sa3a
investment,stitmar
test,khtibar
style,style
style,2osloub
look,choufa
look,medher
deal,sf9a
charge,cho7na
help,mosa3ada
economy,9tisad
new,jdid
event,7adath
commission,commission
commission,je3ba
fish,7outa
college,kollia
oil,zit
opportunity,forsa
film,film
conference,mo7adara
application,application
application,tatbi9
addition,jem3
station,station
shop,ma7al
doubt,chek
majority,aghlabia
degree,daraja
blood,dem
site,maw9i3
importance,ahammia
title,la9ab
increase,zyada
concern,ihtimam
competition,mosaba9a
software,bernamaj
lady,siyda
daughter,bent
purpose,hadaf
responsibility,ms2oulia
ability,9odra
appeal,jadibia
opposition,mo3arada
campaign,7amla
respect,7tiram
task,mohimma
sale,solde
sale,tkhfid
whole,kaml
officer,dabit
piece,biasa
lack,na9s
disease,marad
oxford,oxford
demand,talab
radio,radio
attempt,mo7awala
sector,9ita3
status,7ala
peace,salam
variety,tanawwo3
teacher,ostad
teacher,mo3llim
show,barnamaj
speaker,nati9
baby,trebia
base,9a3ida
miss,anisa
direction,ittijah
context,siya9
character,chakhsiya
character,7arf
discussion,mo7adata
past,madi
weight,wazn
organisation,monaddama
brother,akh
league,dawri
league,3osba
condition,chart
machine,makina
sex,sex
sex,jins
budget,mizania
english,nglizia
transport,transpor
cash,flous cash
version,noskha
tea,atay
balance,tawazon
balance,mizan
afternoon,3chia
turn,dora
survey,stitla3
stone,7jra
dog,kelb
speech,khitab
function,wadifa
queen,malika
marriage,jwaj
stock,stok
failure,fachal
student,talib
effort,mjhoud
career,carriere
attack,hojom
progress,ta9addom
plant,nbta
ball,kora
memory,dakira
bar,bar
quarter,rbe3
race,race
image,sora
trust,ti9a
edge,7affa
gas,gaz
railway,sekka
advantage,momayyiza
advantage,avantage
gold,dheb
network,rizo
text,text
sister,okht
foot,rjel
rise,tl3
corner,9nt
insurance,asorans
damage,darar
credit,kridi
pain,2alam
legislation,tchri3
strength,se77a
speed,sor3a
hill,kdia
will,irada
present,7adir
patient,sebbar
patient,mrid
band,fer9a
museum,mt7af
pound,jonayh
match,match
assessment,t9dir
message,misaj
no,lla
scene,mshhed
introduction,mo9addima
play,msra7ia
fear,khawf
proportion,nisba
island,jazira
contact,kontakt
japan,yaban
japan,jappon
claim,motalaba
video,vidio
existence,wojoud
telephone,tilifoun
relief,rtiya7
cabinet,3iyada
cabinet,khizana
unemployment,bitala
reality,wa9i3
construction,bni
distribution,tawzi3
train,9itar
sight,mndr
difficulty,so3oba
factor,3amil
weekend,wikand
battle,m3raka
grant,bourse
aircraft,tiyyara
bridge,9ntra
bridge,guentra
strategy,stratijia
contrast,contrast
communication,tawasol
background,khlfia
shape,shkel
wine,vin
hope,amal
selection,khtiyar
detail,tafasil
user,mosta3mil
client,kliyan
offer,3ard
dinner,3cha
agency,wakala
seat,m93ed
fig.,kermos
crisis,azma
smile,de7ka
note,ml7oda
note,modakkira
note,nota
procedure,ijra2
theatre,msre7
middle,wst
absence,ghiyab
package,bakia
card,bita9a
sign,ichara
sign,ramz
commitment,ltizam
player,la3ib
threat,tahdid
weather,ta9s
element,jow
notice,tnbih
victory,ntisar
bottom,te7t
finance,malia
fund,flous
file,milaf
jack,priz
expenditure,msrof
second,tani
discipline,ndibat
cell,siloun
cell,zinzana
reaction,raddat lfi3l
castle,9l3a
congress,mo2tamar
individual,fard
lead,9iyada
consideration,3tibar
debt,din
reform,isla7
emphasis,teshdid
spring,rabi3
audience,jmhor
feature,khassia
touch,lmsa
estate,milkia
contribution,mocharaka
curriculum,program
appearance,madhar
institute,mo2assasa
membership,3odwia
branch,3rsh
waste,zbel
neck,3n9
object,mawdo3
captain,capitin
captain,9obtan
challenge,ta7addi
conversation,7dit
code,kod
crown,taj
silence,skat
hell,jahennam
entry,mdkhl
entry,dkhla
transfer,nti9al
gentleman,ssiyed
bag,mi7fada
coal,fakhr
investigation,t79i9
leg,sa9
total,majmo3
major,9a2id
document,wati9a
description,wasf
aim,gharad
flight,vol
conclusion,khatima
tradition,ta9lid
pleasure,plizir
owner,moul
treaty,mo3ahada
desire,rghba
professor,professor
copy,nskha
acid,7amd
palace,9ser
address,adrissa
institution,mo2ssasa
lunch,ghda
generation,jil
partner,chrik
engine,motor
newspaper,jornan
welfare,rafahia
definition,t3rif
release,tl9
vote,tswit
examination,fa7s
atmosphere,ghilaf jawwi
breath,nefs
creation,khal9
row,sf
guide,guide
milk,7lib
cover,tghtia
screen,shasha
criticism,na9d
silver,ne9ra
explanation,tfsir
green,khdr
measure,3bar
injury,isaba
run,jria
coast,plage
drink,mchroub
magazine,majalla
revolution,tawra
settlement,mostawtana
christ,3isa
metal,ma3din
index,mo2ashshir
adult,baligh
inflation,tadakhkhom
sport,riyada
surprise,mofaja2a
pension,ta9a3od
factory,m3ml
tape,sharit
tape,kasita
flow,tayyar
lane,khat
pool,piscine
hole,7fra
flat,partma
content,mo7tawa
combination,mazij
combination,tkhlita
session,jelsa
appointment,maw3id
fashion,lamod
consumer,mostahlik
consumer,klian
accommodation,sokna
temperature,darajat l7arara
author,katib
author,mo2allif
nation,omma
northern,chamali
sample,3ayyina
interpretation,tarjama
interpretation,ta2wil
aspect,janib
shoulder,ktef
gallery,salon
cancer,konsir
proposal,i9tira7
sequence,tasalsol
ship,bakhira
interview,entretiyan
vehicle,markaba
democracy,dimo9ratia
improvement,ta7sin
improvement,tatwir
involvement,tawarrot
general,jiniral
van,van
meal,wjba
breakfast,ftor
channel,ida3a
impression,ntiba3
tone,sonri
pollution,talawwoth
beauty,ljamal
beauty,alzzine
vision,ro2ya
spot,bo93a
brown,9ehwi
fuel,mazot
sum,mjmo3
decline,nkhifad
revenue,mdkhol
fall,ti7a
diet,rijim
reader,9ari2
shock,sadma
fruit,fakiha
behalf,b anniyaba
nose,mnkher
artist,fennan
song,oughnia
song,disk
maintenance,siyana
formation,tekwin
grass,gazon
spokesman,nati9 bi ism
ice,telj
talk,7adith
link,rabit
expert,khabir
expert,ikspir
plastic,mika
plastic,plastic
candidate,morsha7
passage,mamarr
ref,marji3
emergency,tawari2
liability,mas2oulia
framework,itar
strike,idrab
countryside,l3robia
household,manzili
approval,mowafa9a
bird,tayr
constitution,dostour
autumn,khrif
cat,mech
agriculture,fla7a
agriculture,zira3a
concentration,tarkiz
guy,shab
guy,derri
dress,keswa
mountain,jbel
editor,ra2is ta7rir
theme,mowdo3
error,ghalat
loan,9ard
stress,tansio
recovery,ta3afi
recession,rokod 9tisadi
wealth,tarwa
comparison,mo9arana
white,byed
walk,mechya
focus,terkiz
chief,chef
bush,3shba
foundation,sas
bath,7emmam
item,mwdo3
publication,nachr
decade,3chr snin
sugar,skar
height,3lou
panel,blaka
efficiency,kafa2a
resolution,addi99a
co-operation,ta3awon
port,mersa
incident,7adita
representation,tamtil
bread,khobz
mistake,khata2
worker,kheddam
empire,imbratoria
notion,mfhoum
delivery,tawsil
chest,sndo9
licence,rokhsa
average,motawassit
expansion,tawsi3
block,majmo3a
alternative,badil
chancellor,mostashar
meat,l7em
store,ma7all
store,magaza
self,ddat
break,stira7a
drama,drama
currency,3omla
partnership,sharaka
skill,mahara
skill,tam3elmit
round,jawla
round,mdowwer
regime,nnidam dial l7okm
inquiry,stifsar
rugby,rigbi
philosophy,felsafa
scope,majal
minority,a9allia
intelligence,daka2
restaurant,ristora
mill,mt7ana
golf,golf
priority,asba9ia
priority,awlawia
plane,tiyara
gap,far9
uncle,3mm
fun,nachat
arrival,wosol
circumstance,darf
command,amr
abuse,ta3assof
abuse,isa2a
abuse,7gra
limit,7ed
situation,ma9am
guarantee,garanti
ladder,sllom
tail,9zziba
newspaper,jarida
vaccine,li9a7
explosion,nfijar
gathering,tajmmo3
meeting,jtima3
picture,soura
size,9edd
shape,chkel
complaint,chikaya
drawer,mjerr
signal,sinyal
look,tlila
gift,kado
card,karta
excuse,3odr
comment,t3li9
phone,tilifon
cable,kabl
charger,charjour
internet,internet
audio,odio
whatsapp,watsap
facebook,fisbok
wireless,bla slk
wire,slk
battery,batri
button,boton
remote control,tilicomand
netflix,nitflix
tv receiver,parabol
laptop,pici
headphones,lizyat
headphones,lizikottour
hardware,matiryal
cell phone,portabl
alarm,reveil
fragile,hchich
angry,cha3l
naughty,dasr
addicted,modmin
stupid,ghabyy
stupid,mkllkh
stupid,mjllj
big,kbir
small,sghir
broken,mhrrs
boring,momill
bald,sl3
fat,ghlid
fat,tebbouzi
thin,r9i9
tall,twil
short,9sir
handsome,bogos
ugly,khayb
crazy,hbil
crazy,mstti
full,3aamr
old,9dim
old,charf
hard,s3ib
hard,9as7
easy,sahl
late,m3ttl
real,7a9i9ia
normal,3adi
simple,bsit
complex,m399d
slow,t9il
wide,was3
happy,nacht
clean,n9i
fair,3aadil
rich,ghany
poor,fa9ir
natural,tabi3i
separate,mfrou9
famous,mchhour
glad,fr7an
original,dourijin
afraid,khayf
huge,dakhm
giant,3imla9
cheerful,zahi
satisfied,radi
sad,7azin
regretful,nadm
depressed,mkta2b
miserable,mskin
comfortable,mrta7
busy,mchghoul
worried,mchton
nervous,m3ssb
troublemaker,mochaghib
angry,ghdban
embarrassed,mrg
shy,7chman
calm,kalm
lonely,wa7id
amazed,mnbaher
astonished,mstghrb
shocked,mchoki
confused,mrwwn
hesitant,mtredded
tired,3yyan
greedy,tmma3
selfish,anani
generous,skhi
stingy,s9ram
stingy,bakhil
kind,drief
patient,sbbar
polite,m2ddb
lazy,m3gaz
hardworking,mojtahid
brave,choja3
brave,za3em
curious,fdoli
arrogant,mghrour
humble,mtwad3
ignorant,jahil
silly,3abit
smart,dki
wise,7akim
genius,nabigha
trustworthy,amine
liar,kddab
betrayer,ghddar
swindler,nssab
naive,nyya
optimistic,mtfa2l
pessimistic,mtcha2m
funny,komik
orphan,ytim
positive,ijabi
negative,silbi
realistic,waa9i3i
disgusting,tay3yyef
contagious,tay3adi
blind,3ma
deaf,smk
mute,zizoun
paralyzed,mchllel
handicapped,mo3wwa9
sterile,3agr
unknown,mjhoul
acceptable,m9boul
reasonable,m39ol
biased,mn7az
neutral,mo7ayid
clear,waad7
criminal,mojrim
murderer,9ttal
expensive,ghali
cheap,rkhis
other,lkhrin
last,lkher
little,sghir
different,mghyyer
next,lli mora
great,3adim
local,ma7lli
social,jtima3i
important,mohim
national,watani
high,3aali
second,ttani
large,waas3
general,3aamm
possible,momkin
young,chaabb
political,syasi
public,3omoumi
particular,mo7ddad
available,mojoud
main,asaasi
major,ra2isi
economic,9tisadi
sure,mo2kkad
international,dawli
certain,m2kked
certain,mo3yyan
special,momyyaz
open,m7loul
whole,kollchi
half,ness
free,7orr
central,markazi
common,mochtarak
common,cha2i3
similar,mtchabh
necessary,darouri
true,s7i7
single,3aazib
private,khass
personal,chkhsi
financial,maali
foreign,ajnabi
strong,chdid
low,naa9s
various,mtnwwe3
present,7aadir
royal,malaki
wrong,khat2
individual,bo7do
current,7aali
legal,9aanouni
modern,7adit
fine,mzyan
previous,saabi9
significant,mo3tabar
industrial,sinaa3i
appropriate,monaasib
dead,myyet
sorry,mt2ssef
successful,naaj7
military,7rbi
aware,wa3i
professional,mihani
direct,mobachir
useful,mofid
effective,f33al
ready,wajd
dark,mdllem
traditional,t9lidi
western,ghrbi
cold,bard
responsible,ms2oul
medical,tibbi
essential,mohimm
male,dakari
primary,awwali
civil,madani
future,most9bali
environmental,by2i
obvious,wad7
senior,lkbir
annual,sanawi
regional,jihawi
commercial,tijari
latter,llekher
practical,tatbi9i
practical,3amali
deep,3ami9
official,rsmi
regular,montadim
usual,m2louf
additional,zayd
standard,standar
powerful,9wi
middle,wasat
front,gddami
impossible,mosta7il
domestic,mnzili
actual,fi3li
technical,ti9ni
internal,dakhili
excellent,momtaz
fresh,tri
far,b3id
potential,mo7tamal
religious,dini
cultural,ta9afi
safe,aamin
conservative,mo7afid
formal,chkli
proper,monasib
rural,9arawi
initial,mbda2i
unable,maghaddch
average,mo3ddal
warm,dafi
strange,ghrib
suitable,mola2im
lovely,m7bob
immediate,fawri
overall,ijmali
equal,msawi
democratic,dimo9rati
eastern,chr9i
quiet,hadi2
educational,t3limi
scientific,3ilmi
female,ontawi
mental,39li
dangerous,khatir
critical,7arij
double,mdobl
quick,sri3
unlikely,mamo7tamalch
familiar,m2lof
historical,tarikhi
southern,janoubi
perfect,mitaali
perfect,msro3
daily,yawmi
liberal,mota7rrir
liberal,liberali
urban,7adari
upper,fogani
apparent,bayn
subject,khad3
tiny,sghiwwer
bright,mdwwi
moral,akhla9i
attractive,jddab
careful,radd lbal
vital,7ayawi
wild,hamaji
empty,khawi
bloody,damawi
external,khariji
relative,nisbi
brief,mkhtasr
typical,namoudaji
broad,mtisse3
narrow,mdyye9
entire,kollo
wonderful,ra2i3
constant,tabt
ideal,mitali
academic,akadimi
minor,9aaser
minor,mamohimmch
rare,naadir
severe,7aadd
permanent,daym
terrible,rahib
crucial,masiri
inner,daakhili
subsequent,taab3
contemporary,mo3asir
prior,sab9
secondary,taanawi
odd,fchkel
massive,ha2il
communist,choyou3i
net,saafi
long-term,mtwwel
extensive,chaamil
alive,7yy
agricultural,zira3i
lucky,mzhar
conventional,3orfi
voluntary,tatwwo3i
dramatic,dramatiki
temporary,mo299at
golden,dahabi
friendly,7ibbi
dependent,m3tamd
competitive,tanafosi
radical,jdri
sensitive,7ssas
outside,kharj
flat,mstt7
emotional,3aatifi
healthy,si77i
administrative,idaari
silent,skkouti
maximum,l7dd
weak,d3if
remarkable,ml7oud
secret,sirri
dear,3ziz
mass,jama3i
wet,fazg
brilliant,mota2lli9
electronic,electroni
absolute,motla9
visual,kaytchaf
wooden,tlkhcheb
firm,saarim
electric,tddo
chemical,kimya2i
supreme,saami
literary,adabi
pure,khaalis
mere,mojrrad
genuine,asiil
extreme,a9saa
pale,baht
widespread,mntachr
catholic,katoliki
classical,klasiki
favorite,mofddal
socialist,chtiraki
sweet,7lo
distinct,mkhtalf
confident,tay9
opposite,dedd
consistent,mtnas9
stable,msta9err
straight,goud
awful,kaykhle3
strategic,stratiji
clinical,kliniki
minimum,a9all haja
dominant,msyter
constitutional,dostouri
theoretical,nadari
anxious,mhmoum
residential,sakani
live,7eyy
accurate,las9
musical,mousi9i
extraordinary,fo9 l3ada
extraordinary,khari9 lil3ada
honest,nazih
precise,d9i9
slight,9lil
monetary,dyal lflous
remote,3an bo3d
plain,sari7
unemployed,chomour
unemployed,mchomer
still,wagf
psychological,nefsi
junior,ssghir
smooth,mles
violent,3anif
structural,haykali
round,mdwwer
so-called,mol99ab
continuous,mttasel
grateful,momtann
occasional,mawsimi
pleasant,momti3
universal,kawni
fellow,zamil
dirty,mossekh
equivalent,kaykaafe2
loose,mrkhi
creative,mobdi3
ultimate,nihaa2i
linguistic,loghawi
steady,taabt
intellectual,fikri
desperate,fa9d l2amal
judicial,9adaa2i
revolutionary,tawri
imperial,imbratouri
illegal,ghayr 9anoni
raw,khaam
outer,khaariji
informal,ghayr rsmi
bitter,morr
experimental,tjribi
frequent,kayt3awd
spiritual,rou7i
intense,mcharji
rational,m39oul
inadequate,mamnasbch
acute,7add
logical,mnti9i
valid,m9bol
weekly,osbou3i
random,3chwa2i
tight,mzyyer
automatic,automatic
asleep,na3s
mutual,motabaadal
multiple,moda3af
nearby,nnawa7i
marginal,haamichi
identical,mtab9
exact,bddbt
electoral,ntikhabi
distinctive,momyyiz
oral,chafawi
bare,3ryan
presidential,ri2aasi
organic,3odwi
statistical,bl7sab
urgent,3ajil
desirable,mrghoub
exclusive,7sri
unexpected,mamtwe99e3ch
innocent,barii2
marine,b7ri
romantic,romansi
artificial,mstane3
institutional,mo2ssasati
biological,bioloji
diplomatic,diplomasi
capitalist,ra2smali
functional,khddam
mechanical,mikaniki
straightforward,mobaachir
uncertain,mami99ench
digital,r9mi
spectacular,modhil
aggressive,3odwani
unfair,machi 3aadil
superior,mtfowwe9
monthly,kolla chher
legislative,tchri3i
spare,idafi
explicit,sarii7
painful,mo2lim
successive,mtab3
unhappy,m9lle9
genetic,jiini
unnecessary,madarorich
influential,mo2ttir
just,ghir
just,hir
just,just
hungry,ji3an
intensive,mokttaf
tropical,stiwa2i
parallel,mowazi
subtle,mabaynch
secure,2aamin
bottom,lt7tani
preliminary,ftitaa7i
partial,joz2i
lesser,a9all
assistant,mosa3id
progressive,tdriiji
continental,9aarri
nasty,kay3yyef
elegant,raa9i
concrete,mlmous
compulsory,ilzami
chronic,mozmin
payable,kaytkhlles
systematic,mnhaji
objective,mawdou3i
magic,si7ri
upset,mnirvi
premier,awwal
fun,kayd77ek
advisory,stichaari
primitive,bida2i
ideological,idioloji
technological,tiknoloji
neat,ani9
contrary,mo3akis
adjacent,mlas9
gay,mitli
peaceful,2aamn
geographical,joghrafi
dynamic,dinamiki
dynamic,mota7rrik
indirect,ghayr mobachir
precious,tamiin
unfortunate,mo2sif
artistic,fnni
magnetic,mighnatisi
endless,makayt9adach
fierce,charis
mild,khfif
loud,mjhhd
ambitious,tamou7
verbal,blhdra
mature,nadj
legitimate,chr3i
well-known,m3rouf
awkward,mo7rij
sympathetic,mt3aatf
colonial,sti3mari
evil,khbit
evil,chirrir
favorable,mlaa2em
absent,ghayb
racial,3ir9i
representative,tmtiili
coastal,saa7ili
enthusiastic,mt7mmes
feminist,feminist
rigid,solb
immense,haa2il
peculiar,gharib
mobile,motan99il
productive,montij
shallow,st7i
eager,7ariis
symbolic,remzi
moderate,m3tadl
fatal,9aatil
compact,mjmou3
profitable,morbi7
rival,monafis
molecular,jozay2i
interior,ddakhili
linear,khtti
insufficient,makafich
eligible,mo2hhal
uncomfortable,m3nfj
uncomfortable,mamori7ch
loyal,mokhlis
prospective,morta9ab
parental,tlwalidin
fiscal,tlflous
cruel,9aasi
cruel,w7chi
diverse,mtnww3
noble,nabil
variable,motaghyyir
inherent,mt2assel
crude,kham
suspicious,mchbouh
selective,nti9a2i
elaborate,mfssl
intermediate,mtwsset
mysterious,ghaamid
philosophical,flsafi
deliberate,mt3mmed
tender,7anoun
fortunate,m7doud
protective,m7mi
liquid,sa2il
solar,chmsi
unpleasant,mamofri7ch
mathematical,ryadyati
defensive,difaa3i
architectural,mi3maari
inappropriate,ghayr monaasib
manual,yadawi
circular,da2iri
persistent,mosirr
persistent,motaabir
divine,ilaahi
spatial,makaani
unacceptable,mam9bolch
toxic,msmoum
integral,mtkaml
intact,mam9yousch
select,mkhtar
redundant,m3awd
bold,za3m
amateur,haawi
forward,9ddami
cognitive,idraaki
tragic,m2sawi
tragic,mofji3
regulatory,tndimi
decisive,7aasim
territorial,i9limi
territorial,mnta9i
awake,fay9
adverse,3ksi
respectable,mo7taram
resident,sakn
resident,mo9iim
orthodox,ortodoxi
orthodox,mt3sseb
compatible,mtwaf9
causal,sababi
implicit,dimni
implicit,mamfrouchch
old-fashioned,9diim
aesthetic,jamaali
aesthetic,mbogs
dual,mozdawij
subjective,machi mawdoo3i
unaware,mafrasoch
unconscious,mawa3ich
fashionable,mstili
anonymous,mjhoul
teenage,moraahi9
disastrous,kaariti
autonomous,msta9ll
atomic,dyal ddarra
foolish,7m9
colorful,mlwwen
delicious,bnin
fond,moghram
uniform,mntadm
glorious,majiid
psychiatric,nfsi
lexical,mo3jami
evolutionary,ttawwori
disciplinary,kayrbbi
disciplinary,t2dibi
arbitrary,3tibaatyan
delightful,kayfrre7
homeless,mtchrred
homeless,chmkar
excess,fa2id
intimate,7amimi
gradual,tdriji
outdoor,flkharj
vocational,tlkhdma
worldwide,3aalami
imaginative,takhayyoli
bizarre,3ajib
eventual,niha2i
spontaneous,mrtajl
spontaneous,makaytsnne3ch
ministerial,wizari
innovative,mobtakar
conceptual,mafaahiimi
grammatical,tnna7w
supplementary,tkmili
geological,jyoloji
constructive,bnnaa2
constructive,kaybni
unreasonable,ghayr mnti9i
mandatory,darori
sunny,mchmmech
co-operative,ta3aawoni
behavioral,solouki
unwilling,mabaghich
optional,khtiyari
indigenous,asli
unsuccessful,manaje7ch
rude,mam2ddebch
rude,mamrbbich
bourgeois,borjwazi
secular,3ilmani
instrumental,mosaahim
terminal,akhir
photographic,fotoghrafi
municipal,tlbaladia
restrictive,m7doud
tense,mtwetter
thanks,choukran
thanks,chokran
thanks,chkran
thanks,chkrn
shit,tfo
shit,tfoo
shit,tfou
death,mawt
death,almawt
death,almaw
death,lmout
death,mout
god,allah
god,allh
salutations,t7yaty
protect,ya7fad
protect,y7fd
protect,ya7fad
shit,khra
shit,khr
contractual,blcontra
contractual,ta3aa9odi
virtual,ftiradi
archaeological,atari
portable,kayhezz
interactive,tafaa3oli
memorable,makattnsach
bleak,ka2ib
inferior,t7tani
intestinal,tlmsaren
complementary,mokmmil
talented,mohoub
eternal,abadi
bodily,jasadi
understandable,mfhoum
ambiguous,mawad7ch
feasible,momkina
incapable,magaddch
incapable,ma9aderch
comic,mod7ik
comic,komidi
solitary,mn3azl
vain,3abati
harmful,modirr
obscure,ghamd
surplus,chyata
sticky,kaytlss9
miniature,mosghghara
abnormal,machi tabi3i
sore,kayderr
radioactive,mochi33
deadly,kay9tel
prone,9aabil
unfamiliar,mam3rofch
surgical,jira7i
supportive,mo3awin
feminine,mo2nnat
destructive,kayfrchekh
petty,kiwalo
bilateral,tonaa2i
would-be,baghi
consequent,naatj
potent,wa3r
rotten,fasd
