,english_translation,label
12869,laughing laughing ,1
12870,me still can god and ,1
12871,water and cat ,0
12872,and ,1
12873,,1
12874,swim and good ,1
12875,else laughing ,1
12876,,0
12877,and since and and after and act ,0
12878,laughing ,0
12879,by glad ,0
12880,me water ,1
12881,beside and ,0
12882,day and ,1
12883,,1
12884,god ,0
12885,,1
12886,since these ,1
12887,laughing less since ,1
12888,,1
12889,,1
12890,and ,1
12891,,1
12892,god me since ,1
12893,my god ,1
12894,support ,1
12895,since ,0
12896,dog ,1
12897,and and saw and ,0
12898,and after since and and and and god ,0
12899,us ,1
12900,,0
12901,water ,1
12902,,1
12903,,1
12904,and god and god and and a lot ,0
12905,of ,0
12906,since ,1
12907,,1
12908,glass ,1
12909,my god my brother ,1
12910,and and whole since and and ,0
12911,my god ,0
12912,limit proverb harm was and beside water since and and and and since and ,0
12913,since and since since water ,0
12914,me else ,1
12915,and and water and ,0
12916,,0
12917,qanun water ,1
12918,since ,1
12919,,1
12920,,1
12921,,0
12922,and ,0
12923,laughing ,1
12924,and was smoke and qanun and god ,0
12925,god ,1
12926,,1
12927,,1
12928,water ,1
12929,since ,0
12930,water ,1
12931,me ,1
12932,,1
12933,,1
12934,cat breath ,1
12935,salutations ,1
12936,,1
12937,me cat and and ,0
12938,bite since water since ,0
12939,,1
12940,,1
12941,god since ,1
12942,me silver ,0
12943,day here ,0
12944,,1
12945,income ,1
12946,act ,1
12947,,1
12948,,1
12949,,1
12950,here month and god water god ,0
12951,,1
12952,in order to ,1
12953,water god brother ,0
12954,and and ,1
12955,,1
12956,follow cat ,1
12957,since ,0
12958,,1
12959,calm no ,1
12960,,1
12961,,1
12962,burn after after since ,0
12963,sea laughing ,1
12964,,1
12965,die ,1
12966,support since thanks ,1
12967,,1
12968,water since ,0
12969,water cat people since water enter me ,0
12970,god was god and ,0
12971,,1
12972,interfere ,0
12973,,1
12974,,1
12975,since ensure since ,0
12976,water ,1
12977,,1
12978,since tongue man since tongue row water ,0
12979,after ,0
12980,water breath ,0
12981,,1
12982,,0
12983,,1
12984,,1
12985,,1
12986,,1
12987,,0
12988,me count my god water ,1
12989,,1
12990,qanun attend ,0
12991,billion ,0
12992,,0
12993,,1
12994,swim good ,1
12995,since mean ,1
12996,,1
12997,,1
12998,,1
12999,,1
13000,since ,0
13001,me ,1
13002,else ,1
13003,,1
13004,,1
13005,since since sense ,0
13006,risk ,1
13007,since ,0
13008,cat and ,1
13009,,1
13010,act me day sheep ,1
13011,water water ,1
13012,and us still ,1
13013,billion since ,1
13014,bite swim bite ,0
13015,,1
13016,god god god ,1
13017,,1
13018,since after ,1
13019,,1
13020,since since ,0
13021,,1
13022,water since limit resolve mind water ,0
13023,and and ,0
13024,,1
13025,,1
13026,word since ,0
13027,book else ,0
13028,,1
13029,,1
13030,,1
13031,and ,1
13032,,1
13033,,1
13034,,1
13035,since factory ,0
13036,,1
13037,book ,0
13038,,0
13039,,1
13040,laughing ,1
13041,,1
13042,,1
13043,,1
13044,,1
13045,water water water ,1
13046,,1
13047,what ,1
13048,and and and and and and and ,0
13049,since since ,0
13050,,0
13051,and ,1
13052,,1
13053,steal ,0
13054,national ,1
13055,,1
13056,,1
13057,god since ,0
13058,,1
13059,,1
13060,since ,1
13061,,1
13062,,1
13063,,0
13064,letter letter ,1
13065,me ,1
13066,since ,0
13067,,1
13068,,1
13069,cat limit ,1
13070,,1
13071,,1
13072,since ,1
13073,pain was ,0
13074,,0
13075,god ,1
13076,,1
13077,go down go down ,1
13078,cat ,0
13079,,1
13080,by ,1
13081,,0
13082,,1
13083,,1
13084,,0
13085,beside ,1
13086,girl ,1
13087,water accept water ,0
13088,,1
13089,less below ,0
13090,,1
13091,since since copy ,0
13092,,1
13093,,1
13094,,1
13095,and ,1
13096,since ,0
13097,,1
13098,,1
13099,water ,0
13100,and ,1
13101,,1
13102,laughing ,1
13103,since ,0
13104,my brother my god god swim good ,1
13105,and ,1
13106,,1
13107,,1
13108,,0
13109,,1
13110,project qanun qanun ,1
13111,and to ,1
13112,,1
13113,laughing however this ,1
13114,since by ,1
13115,me ,1
13116,,1
13117,water cat since after ,0
13118,,1
13119,,1
13120,since by since day ,0
13121,,0
13122,since bite since water ,0
13123,appear ,0
13124,mom ,0
13125,,1
13126,,1
13127,since ,0
13128,,1
13129,,1
13130,since ,1
13131,,1
13132,,1
13133,,1
13134,,1
13135,,1
13136,,1
13137,,0
13138,and ,0
13139,and ,1
13140,,1
13141,,1
13142,,1
13143,day act since since bite beside tunisia ,0
13144,,1
13145,property ,1
13146,laughing ,1
13147,,1
13148,,0
13149,by thousand ,1
13150,,1
13151,god ,1
13152,,1
13153,me me me ,0
13154,,0
13155,,1
13156,,1
13157,,1
13158,rational ,1
13159,,1
13160,,0
13161,cat ,1
13162,god ,0
13163,,0
13164,,0
13165,my god god ,1
13166,,1
13167,since and ,1
13168,oud ,1
13169,harm limit harm ,1
13170,laugh ,1
13171,god ,1
13172,act less god ,0
13173,,1
13174,beside ,0
13175,,1
13176,water ,1
13177,,1
13178,cat day ,0
13179,since ,1
13180,,0
13181,me ,1
13182,me and god cat ,0
13183,,1
13184,,0
13185,since harm ,0
13186,mouse lord ,1
13187,,1
13188,cat successive was and ,0
13189,,1
13190,god ,1
13191,since ,1
13192,water follow ,0
13193,god ,1
13194,,1
13195,,0
13196,god ,1
13197,,0
13198,,1
13199,,1
13200,,1
13201,,1
13202,,1
13203,,0
13204,,1
13205,cat ,1
13206,my god security ,0
13207,,1
13208,double and and ,0
13209,,1
13210,,1
13211,,1
13212,,1
13213,since ,1
13214,since cat ,0
13215,my god ,1
13216,water in order to since harm water size tunisia god ,0
13217,,1
13218,water ,0
13219,,1
13220,my god ,1
13221,,1
13222,,1
13223,act and beside water ,1
13224,me cat ,0
13225,,1
13226,,1
13227,water kill ,0
13228,since ,1
13229,,1
13230,cat ,1
13231,,1
13232,,1
13233,god ,0
13234,,0
13235,water water ,0
13236,,1
13237,,1
13238,bone since since since ,0
13239,me since since ,1
13240,god since my god and ,1
13241,god ,1
13242,since ,0
13243,my god ,1
13244,,1
13245,couple ,1
13246,escape ,1
13247,me ,0
13248,,1
13249,,1
13250,,1
13251,,0
13252,,1
13253,,1
13254,,1
13255,absence ,1
13256,,1
13257,,1
13258,,1
13259,,1
13260,,1
13261,,0
13262,,1
13263,since and ,0
13264,cat ,1
13265,me people and cat and people and since ,0
13266,beside harm harm ,0
13267,men tend win ,0
13268,,1
13269,,1
13270,,0
13271,appear ,1
13272,,1
13273,,1
13274,,1
13275,,1
13276,,1
13277,and of ,0
13278,after ,0
13279,water ,1
13280,since water ,0
13281,since ,0
13282,breath age book breath mentality since god ,0
13283,since ,0
13284,since ,1
13285,and and and since and fund and by ,0
13286,cold and you here ,1
13287,,1
13288,,1
13289,,1
13290,,1
13291,role ,1
13292,,1
13293,cat stay ,1
13294,,1
13295,,1
13296,,1
13297,,0
13298,,1
13299,,1
13300,accompany income cat enter god ,0
13301,since ,1
13302,,1
13303,,1
13304,newspaper ,1
13305,,1
13306,water doubt cat else laughing ,0
13307,act ,1
13308,,0
13309,since ,1
13310,,1
13311,,1
13312,,1
13313,,1
13314,,1
13315,,1
13316,,1
13317,,1
13318,,1
13319,harm since blood else ,0
13320,present laughing ,1
13321,below ,0
13322,,1
13323,,1
13324,,1
13325,,1
13326,laughing and and laughing ,1
13327,me cat cat cat afraid cat feel ,1
13328,,1
13329,,0
13330,cat ,0
13331,,0
13332,god ,1
13333,accept since ,1
13334,,1
13335,,1
13336,water since here ,0
13337,begin god god ,1
13338,,1
13339,and and and century since and laughing ,0
13340,and and ,0
13341,,1
13342,,1
13343,since god ,1
13344,,1
13345,laughing ,1
13346,cat ,1
13347,,1
13348,,1
13349,water ,1
13350,,1
13351,,1
13352,me ,1
13353,,1
13354,water ,0
13355,,1
13356,since since god my god god god my god since since below ,0
13357,,1
13358,since ,1
13359,,1
13360,elephant since pineapple ,0
13361,bread and laughing ,1
13362,since ,1
13363,,1
13364,since since and since ensure ,0
13365,,1
13366,,1
13367,swim ,1
13368,water less since ,0
13369,,1
13370,since was god since ,0
13371,water ,1
13372,me since since here ,1
13373,water god ,0
13374,,1
13375,since ,0
13376,,1
13377,water ,1
13378,,1
13379,since at ,1
13380,,1
13381,,1
13382,,1
13383,,1
13384,,1
13385,,1
13386,,1
13387,,1
13388,,1
13389,,1
13390,,1
13391,,1
13392,,1
13393,,1
13394,,1
13395,,1
13396,,1
13397,,1
13398,,1
13399,,1
13400,,1
13401,,1
13402,,1
13403,,1
13404,,1
13405,,1
13406,,1
13407,,1
13408,,1
13409,,1
13410,,1
13411,,1
13412,,1
13413,,1
13414,,1
13415,,1
13416,,1
13417,,1
13418,,1
13419,,1
13420,,1
13421,,1
13422,,1
13423,,1
13424,,1
13425,,1
13426,,1
13427,,1
13428,turnip ,1
13429,,1
13430,,1
13431,,1
13432,,1
13433,,1
13434,,1
13435,,1
13436,,1
13437,,1
13438,,1
13439,,1
13440,,1
13441,,1
13442,,1
13443,,1
13444,,1
13445,,1
13446,,1
13447,,1
13448,,1
13449,,1
13450,,1
13451,,1
13452,,1
13453,,1
13454,,1
13455,,1
13456,,1
13457,,1
13458,,1
13459,,1
13460,,1
13461,,1
13462,,1
13463,,1
13464,,1
13465,,1
13466,,1
13467,,1
13468,,1
13469,,1
13470,,1
13471,,1
13472,,1
13473,,1
13474,,1
13475,,1
13476,,1
13477,,1
13478,,1
13479,,1
13480,,1
13481,,1
13482,,1
13483,,1
13484,by ,1
13485,,1
13486,,1
13487,,1
13488,,1
13489,to ,1
13490,,1
13491,at ,1
13492,,1
13493,,1
13494,,1
13495,,1
13496,,1
13497,,1
13498,,1
13499,,1
13500,,1
13501,,1
13502,,1
13503,,1
13504,,1
13505,,1
13506,,1
13507,,1
13508,,1
13509,,1
13510,,1
13511,,1
13512,,1
13513,,1
13514,,1
13515,,1
13516,,1
13517,,1
13518,,1
13519,,1
13520,,1
13521,,1
13522,,1
13523,,1
13524,,1
13525,,1
13526,,1
13527,,1
13528,,1
13529,,1
13530,,1
13531,,1
13532,,1
13533,,1
13534,,1
13535,,1
13536,,1
13537,,1
13538,,1
13539,,1
13540,,1
13541,,1
13542,,1
13543,,1
13544,,1
13545,,1
13546,,1
13547,,1
13548,,1
13549,,1
13550,,1
13551,,1
13552,,1
13553,,1
13554,,1
13555,,1
13556,,1
13557,,1
13558,,1
13559,,1
13560,,1
13561,,1
13562,,1
13563,,1
13564,,1
13565,,1
13566,,1
13567,,1
13568,,1
13569,,1
13570,,1
13571,,1
13572,,1
13573,,1
13574,,1
13575,,1
13576,,1
13577,,1
13578,,1
13579,,1
13580,,1
13581,,1
13582,,1
13583,,1
13584,,1
13585,,1
13586,,1
13587,,1
13588,,1
13589,,1
13590,,1
13591,,1
13592,,1
13593,,1
13594,,1
13595,,1
13596,,1
13597,,1
13598,,1
13599,,1
13600,,1
13601,,1
13602,,1
13603,,1
13604,,1
13605,,1
13606,,1
13607,,1
13608,,1
13609,,1
13610,,1
13611,,1
13612,,1
13613,,1
13614,,1
13615,,1
13616,,1
13617,,1
13618,,1
13619,,1
13620,,1
13621,,1
13622,,1
13623,,1
13624,,1
13625,,1
13626,,1
13627,,1
13628,,1
13629,,1
13630,,1
13631,,1
13632,,1
13633,,1
13634,,1
13635,,1
13636,,1
13637,,1
13638,,1
13639,,1
13640,,1
13641,,1
13642,,1
13643,,1
13644,,1
13645,,1
13646,,1
13647,,1
13648,,1
13649,,1
13650,,1
13651,,1
13652,,1
13653,,1
13654,,1
13655,,1
13656,,1
13657,,1
13658,,1
13659,,1
13660,,1
13661,,1
13662,,1
13663,,1
13664,,1
13665,,1
13666,,1
13667,,1
13668,,1
13669,,1
13670,,1
13671,,1
13672,,1
13673,,1
13674,,1
13675,,1
13676,,1
13677,,1
13678,,1
13679,,1
13680,,1
13681,,1
13682,,1
13683,,1
13684,,1
13685,,1
13686,,1
13687,,1
13688,,1
13689,,1
13690,,1
13691,,1
13692,,1
13693,,1
13694,,1
13695,,1
13696,,1
13697,,1
13698,,1
13699,,1
13700,,1
13701,,1
13702,,1
13703,,1
13704,,1
13705,,1
13706,,1
13707,,1
13708,,1
13709,,1
13710,god ,1
13711,,1
13712,,1
13713,,1
13714,,1
13715,,1
13716,,1
13717,,1
13718,,1
13719,,1
13720,,1
13721,,1
13722,,1
13723,,1
13724,,1
13725,,1
13726,,1
13727,,1
13728,,1
13729,,1
13730,,1
13731,,1
13732,,1
13733,,1
13734,,1
13735,,1
13736,,1
13737,,1
13738,sweet ,1
13739,,1
13740,,1
13741,,1
13742,,1
13743,,1
13744,god god ,1
13745,god ,1
13746,god ,1
13747,support ,1
13748,,1
13749,,1
13750,,1
13751,,1
13752,,1
13753,,1
13754,,1
13755,,1
13756,,1
13757,,1
13758,,1
13759,,1
13760,,1
13761,,1
13762,,1
13763,,1
13764,,1
13765,,1
13766,,1
13767,,1
13768,,1
13769,,1
13770,,1
13771,,1
13772,,1
13773,,1
13774,,1
13775,,1
13776,,1
13777,,1
13778,,1
13779,,1
13780,,1
13781,,1
13782,,1
13783,,1
13784,,1
13785,,1
13786,,1
13787,,1
13788,,1
13789,laughing ,1
13790,dog ,1
13791,,1
13792,,1
13793,,1
13794,,1
13795,,1
13796,,1
13797,,1
13798,,1
13799,,1
13800,,1
13801,,1
13802,,1
13803,,1
13804,,1
13805,,1
13806,,1
13807,,1
13808,,1
13809,,1
13810,,1
13811,laughing ,1
13812,,1
13813,,1
13814,,1
13815,,1
13816,,1
13817,,1
13818,,1
13819,,1
13820,,1
13821,,1
13822,,1
13823,,1
13824,,1
13825,,1
13826,,1
13827,,1
13828,laughing ,1
13829,laughing ,1
13830,,1
13831,,1
13832,god ,1
13833,,1
13834,,1
13835,,1
13836,,1
13837,act ,1
13838,,1
13839,,1
13840,,1
13841,,1
13842,,1
13843,,1
13844,,1
13845,,1
13846,,1
13847,laughing ,1
13848,,1
13849,,1
13850,,1
13851,,1
13852,,1
13853,,1
13854,,1
13855,,1
13856,,1
13857,,1
13858,,1
13859,thanks ,1
13860,,1
13861,,1
13862,,1
13863,,1
13864,,1
13865,,1
13866,,1
13867,,1
13868,,1
13869,,1
13870,,1
13871,,1
13872,,1
13873,,1
13874,,1
13875,,1
13876,,1
13877,,1
13878,,1
13879,,1
13880,,1
13881,,1
13882,,1
13883,,1
13884,,1
13885,,1
13886,,1
13887,,1
13888,,1
13889,,1
13890,,1
13891,,1
13892,,1
13893,,1
13894,,1
13895,,1
13896,swim good ,1
13897,,1
13898,god ,1
13899,god ,1
13900,salutations ,1
13901,,1
13902,,1
13903,,1
13904,,1
13905,,1
13906,,1
13907,god ,1
13908,god ,1
13909,,1
13910,,1
13911,swim ,1
13912,,1
13913,,1
13914,god ,1
13915,thousand ,1
13916,god ,1
13917,god ,0
13918,god ,0
13919,god ,0
13920,god ,1
13921,thousand thousand thousand ,1
13922,god ,1
13923,,1
13924,god ,1
13925,,1
13926,,1
13927,,1
13928,,1
13929,,1
13930,,1
13931,,1
13932,,1
13933,me ,1
13934,live ,1
13935,,1
13936,,1
13937,,1
13938,,1
13939,,1
13940,,1
13941,beside ,1
13942,,1
13943,,1
13944,,1
13945,,1
13946,,1
13947,,1
13948,,1
13949,,1
13950,,1
13951,,1
13952,,1
13953,laughing ,1
13954,,1
13955,,1
13956,,1
13957,,1
13958,,1
13959,,1
13960,,1
13961,,1
13962,,1
13963,,1
13964,,1
13965,,1
13966,,1
13967,,1
13968,,1
13969,,1
13970,,1
13971,,1
13972,,1
13973,god ,0
13974,,1
13975,,1
13976,,1
13977,,1
13978,,1
13979,,1
13980,,1
13981,,1
13982,,1
13983,,1
13984,,1
13985,,1
13986,,1
13987,,1
13988,,1
13989,laughing ,1
13990,,1
13991,,1
13992,,1
13993,,1
13994,,1
13995,,1
13996,,1
13997,,1
13998,,1
13999,laughing ,1
14000,,1
14001,,1
14002,,1
14003,,1
14004,,1
14005,,1
14006,,1
14007,,1
14008,,1
14009,,1
14010,,1
14011,,1
14012,,1
14013,,1
14014,,1
14015,,1
14016,,1
14017,,1
14018,,1
14019,,1
14020,,1
14021,,1
14022,,1
14023,,1
14024,,1
14025,,1
14026,,1
14027,,1
14028,,1
14029,,1
14030,,1
14031,,1
14032,laughing ,1
14033,,1
14034,,1
14035,,1
14036,,1
14037,,1
14038,,1
14039,laughing ,1
14040,,1
14041,,1
14042,god ,0
14043,,1
14044,,1
14045,,1
14046,,1
14047,,1
14048,,1
14049,,1
14050,,1
14051,,1
14052,,1
14053,,1
14054,thanks ,1
14055,,1
14056,,1
14057,,1
14058,,1
14059,,1
14060,,1
14061,,1
14062,,1
14063,,1
14064,,1
14065,,1
14066,,1
14067,,1
14068,,1
14069,,1
14070,,1
14071,,1
14072,,1
14073,,1
14074,,1
14075,,1
14076,,1
14077,,1
14078,,1
14079,shit ,1
14080,,1
14081,,1
14082,,1
14083,,1
14084,,1
14085,god ,1
14086,,1
14087,,1
14088,,1
14089,,1
14090,,1
14091,,1
14092,,1
14093,,1
14094,,1
14095,,1
14096,,1
14097,,1
14098,,1
14099,,1
14100,,1
14101,god ,1
14102,,1
14103,sweet ,1
14104,,1
14105,,1
14106,,1
14107,,1
14108,,1
14109,,1
14110,,1
14111,,1
14112,,1
14113,,1
14114,,1
14115,god since ,1
14116,mean ,1
14117,,1
14118,god ,1
14119,,1
14120,,1
14121,,1
14122,,1
14123,,1
14124,,1
14125,,1
14126,,1
14127,,1
14128,,1
14129,,1
14130,,1
14131,,1
14132,,1
14133,,1
14134,,1
14135,,1
14136,,1
14137,,1
14138,,1
14139,,1
14140,,1
14141,,1
14142,,1
14143,,1
14144,,1
14145,,1
14146,yellow ,1
14147,,1
14148,,1
14149,,1
14150,,1
14151,,1
14152,,1
14153,,1
14154,,1
14155,,1
14156,,1
14157,,1
14158,,1
14159,,1
14160,,1
14161,,1
14162,,1
14163,,1
14164,,1
14165,,1
14166,,1
14167,,1
14168,,1
14169,,1
14170,,1
14171,,1
14172,,1
14173,,1
14174,,1
14175,,1
14176,,1
14177,,1
14178,,1
14179,,1
14180,,1
14181,,1
14182,,1
14183,god ,1
14184,god ,1
14185,,1
14186,,1
14187,,1
14188,,1
14189,,1
14190,,1
14191,,1
14192,,1
14193,,1
14194,,1
14195,,1
14196,,1
14197,,1
14198,,1
14199,,1
14200,,1
14201,,1
14202,,1
14203,,1
14204,,1
14205,,1
14206,,1
14207,,1
14208,,1
14209,bar ,1
14210,,1
14211,,1
14212,,1
14213,,1
14214,,1
14215,,1
14216,,1
14217,,1
14218,,1
14219,,1
14220,,1
14221,,1
14222,,1
14223,,1
14224,,1
14225,,1
14226,,1
14227,,1
14228,,1
14229,god ,1
14230,,1
14231,,1
14232,,1
14233,me ,0
14234,,1
14235,,1
14236,,1
14237,,1
14238,god ,1
14239,die ,1
14240,,1
14241,,1
14242,,1
14243,god ,1
14244,,1
14245,,1
14246,,1
14247,,1
14248,,1
14249,,1
14250,,1
14251,,1
14252,,1
14253,,1
14254,,1
14255,,1
14256,,1
14257,,1
14258,,1
14259,god ,1
14260,god ,1
14261,thousand ,1
14262,,1
14263,god ,1
14264,,1
14265,,1
14266,god ,1
14267,,1
14268,,1
14269,,1
14270,,1
14271,,1
14272,,0
14273,,1
14274,,1
14275,,1
14276,god ,1
14277,,1
14278,rational ,1
14279,,1
14280,shit ,1
14281,,1
14282,,1
14283,,1
14284,,1
14285,god ,1
14286,,1
14287,,1
14288,,1
14289,,0
14290,,1
14291,god ,1
14292,thanks ,1
14293,,1
14294,permitted ,1
14295,god ,1
14296,,1
14297,,1
14298,,1
14299,,1
14300,,1
14301,,1
14302,,1
14303,,1
14304,,1
14305,,1
14306,,1
14307,,1
14308,,1
14309,,1
14310,,1
14311,,1
14312,,1
14313,,1
14314,god god ,1
14315,,1
14316,,1
14317,,1
14318,,1
14319,,1
14320,,1
14321,,1
14322,,1
14323,,1
14324,,1
14325,,1
14326,,1
14327,,1
14328,,1
14329,,1
14330,,1
14331,,1
14332,,1
14333,,1
14334,,1
14335,,1
14336,,1
14337,,1
14338,,1
14339,,1
14340,,1
14341,,1
14342,laughing my brother this ,1
14343,,1
14344,,1
14345,since ,1
14346,god ,0
14347,,1
14348,thanks ,1
14349,god ,1
14350,that ,1
14351,qanun ,0
14352,,1
14353,what still ,1
14354,go ,1
14355,,1
14356,god thanks ,1
14357,this and his ,1
14358,,0
14359,,1
14360,,1
14361,,1
14362,since and me and and ,0
14363,,1
14364,,1
14365,,1
14366,that ,1
14367,water ,0
14368,this sleep mt god ,1
14369,,1
14370,what ,1
14371,you and sense me why ,0
14372,and harm ,1
14373,,1
14374,,0
14375,me of ,1
14376,thanks my brother ,1
14377,,1
14378,laughing god since ,1
14379,,1
14380,,1
14381,,1
14382,after computer exist book of ,0
14383,what this ,1
14384,,1
14385,,1
14386,,1
14387,,1
14388,,1
14389,horse learn ,1
14390,,0
14391,,1
14392,me and ,1
14393,sleep ,1
14394,choice that breath in order to ,1
14395,god ,1
14396,collect ,1
14397,god ,1
14398,,1
14399,,1
14400,laughing ,1
14401,at sunday swim that ,1
14402,,1
14403,,1
14404,was act ,1
14405,bring god water ,0
14406,,1
14407,,1
14408,god and ,0
14409,god and ,0
14410,to ,1
14411,mother at ,1
14412,,1
14413,,1
14414,god ,1
14415,,1
14416,,1
14417,swim ,1
14418,was his war ,1
14419,god and ,0
14420,beside ,1
14421,,1
14422,,1
14423,god ,1
14424,,1
14425,,1
14426,similarly similarly of this quickly ,1
14427,cat day ,1
14428,me ,1
14429,,1
14430,laughing limit ,1
14431,me ,1
14432,why ,1
14433,thanks ,1
14434,,1
14435,god ,1
14436,of accept ,1
14437,,1
14438,,1
14439,me ,1
14440,,1
14441,since and since and ,0
14442,,1
14443,,1
14444,and ,1
14445,,1
14446,,1
14447,,1
14448,exist ,1
14449,laughing god ,1
14450,and ,1
14451,stay and ,0
14452,beside since beside ,1
14453,was and and me and a lot and and ,0
14454,laughing ,1
14455,,1
14456,,1
14457,and ,0
14458,,1
14459,pass accept since until fine and better ,1
14460,exist stay laugh beside ,0
14461,this this ,1
14462,,1
14463,,0
14464,since after ,1
14465,me since bar ,1
14466,,1
14467,and ,0
14468,,1
14469,,0
14470,since ,0
14471,men this water similarly men was ,0
14472,,1
14473,of in order to ,1
14474,laughing ,1
14475,,1
14476,,0
14477,laughing ,1
14478,and asleep ,1
14479,,1
14480,,1
14481,,0
14482,me this ,1
14483,his laughing thanks my brother ,1
14484,,1
14485,me god and ,0
14486,,1
14487,head ,1
14488,and god and ,0
14489,,1
14490,and after me and ,0
14491,that ,1
14492,,1
14493,,1
14494,guilt ,1
14495,,1
14496,limit ,1
14497,you here in order to since since ,0
14498,my god ,1
14499,,1
14500,,1
14501,,1
14502,,1
14503,,1
14504,,1
14505,laughing swim since ,1
14506,,0
14507,my brother ,1
14508,and of ,1
14509,us here limit ,0
14510,market ,1
14511,water know ,1
14512,you similarly ,1
14513,since and ,0
14514,,1
14515,,1
14516,,1
14517,,1
14518,,1
14519,at ,1
14520,evening prayer exist ,1
14521,why ,1
14522,,0
14523,,1
14524,after ,1
14525,,1
14526,with ,1
14527,you come ,1
14528,and ,1
14529,,1
14530,laughing ,1
14531,about ,1
14532,sleep ,1
14533,was ,1
14534,now ,1
14535,,1
14536,since at ,1
14537,laughing ,1
14538,laughing ,1
14539,god ,1
14540,,1
14541,morals after ,1
14542,god and since ,0
14543,discuss ,1
14544,this god ,0
14545,my brother ,1
14546,god ,1
14547,,1
14548,at at disappear come fund rent resident his laughing ,0
14549,a lot ,1
14550,human fine ,1
14551,,1
14552,god ,1
14553,in order to since ,0
14554,,1
14555,after and after water come would and forbidden and impose and ,0
14556,,1
14557,and ,0
14558,quickly asleep ,0
14559,laughing ,1
14560,,1
14561,,1
14562,,1
14563,me ,0
14564,,0
14565,limit less and ,1
14566,see limit defeat ,0
14567,,1
14568,since beside and water and ,0
14569,,1
14570,,1
14571,,1
14572,since ,0
14573,,0
14574,laugh ,1
14575,here ,1
14576,water letter to ,0
14577,,1
14578,,1
14579,of ,1
14580,now us head ,0
14581,since ,1
14582,and ,0
14583,why ,1
14584,,1
14585,,1
14586,laughing ,1
14587,,1
14588,god ,1
14589,god ,1
14590,me and and why and beside ,0
14591,would angry would and since and you and ,0
14592,,0
14593,laughing ,1
14594,,0
14595,,1
14596,book ,1
14597,me water since ,1
14598,me girl and girl girl both ,0
14599,,1
14600,,1
14601,that ,1
14602,and and ,1
14603,day ,1
14604,horse ,1
14605,god swim water ,1
14606,water and may ,1
14607,,1
14608,laughing ,1
14609,this would ,1
14610,laughing god god exist here ,1
14611,,1
14612,habit fine ,1
14613,,1
14614,,0
14615,else of ,1
14616,one with ,1
14617,,1
14618,,1
14619,thanks ,1
14620,,1
14621,bread ,1
14622,laughing ,1
14623,god god ,1
14624,laughing ,1
14625,and and and and ,1
14626,income ,1
14627,,1
14628,was water laughing ,1
14629,god ,1
14630,,1
14631,thanks ,1
14632,,1
14633,el jadida ,1
14634,,1
14635,,1
14636,head ,1
14637,,1
14638,water ,1
14639,,0
14640,here ,1
14641,and since ,1
14642,,1
14643,god ,1
14644,,1
14645,,0
14646,,1
14647,,1
14648,of ,1
14649,and ,0
14650,god ,1
14651,,1
14652,since ,1
14653,,1
14654,and ,1
14655,of ,1
14656,,1
14657,,1
14658,why human ,1
14659,beside was ,0
14660,,1
14661,laughing ,1
14662,behind ,0
14663,water after may ,0
14664,,1
14665,,1
14666,,0
14667,,1
14668,god ,1
14669,water at ,1
14670,mom ,0
14671,,1
14672,similarly this wife ,1
14673,and ,0
14674,a lot ,1
14675,,1
14676,and ,1
14677,,1
14678,owner ,1
14679,a lot what ,1
14680,,1
14681,,0
14682,and and ,0
14683,this me in order to and proverb since ,0
14684,eat ,1
14685,since and and ,1
14686,and ,1
14687,,1
14688,water door ,1
14689,and at and ,1
14690,thousand ,1
14691,,1
14692,since ,1
14693,,1
14694,this god ,1
14695,,1
14696,this and ,1
14697,,1
14698,,1
14699,,1
14700,better ,1
14701,,1
14702,,1
14703,laughing ,1
14704,exist ,1
14705,,1
14706,,0
14707,laughing ,1
14708,,1
14709,and ,1
14710,laughing and you effort laughing ,0
14711,god ,1
14712,,1
14713,laughing this else since in order to in order to beside was laughing ,0
14714,of ,0
14715,,1
14716,laughing ,1
14717,what us water ,1
14718,,0
14719,,1
14720,laughing since ,0
14721,,1
14722,,0
14723,me ,1
14724,,1
14725,and and human water ,0
14726,hope and blame ,1
14727,,1
14728,that and in order to and below harm exist harm and ,0
14729,since ,1
14730,,1
14731,and ,1
14732,,1
14733,accept else news ,1
14734,,1
14735,lunch tea ,1
14736,this of ,0
14737,afraid laughing ,1
14738,prince ,0
14739,,1
14740,,1
14741,laughing god thanks ,1
14742,,1
14743,,1
14744,harm was his ,1
14745,,1
14746,,1
14747,,1
14748,,1
14749,in order to of ,0
14750,,1
14751,in order to ,1
14752,,1
14753,to since ,1
14754,god god ,1
14755,similarly this ,1
14756,this creation since creation ,0
14757,count concede father ,0
14758,and ,1
14759,beside since swim since ,0
14760,,1
14761,human similarly of and accept ,0
14762,this of of ,0
14763,me ,1
14764,and water this hand this ,0
14765,,0
14766,,1
14767,,1
14768,my brother ,1
14769,,1
14770,after ,0
14771,that exist ,1
14772,,1
14773,,0
14774,,1
14775,,1
14776,hot ,1
14777,since compact quarter ,1
14778,,1
14779,attention limit ,1
14780,thanks ,1
14781,and ,1
14782,since ,0
14783,thanks ,1
14784,,1
14785,,1
14786,since ,0
14787,,1
14788,,1
14789,me laughing ,1
14790,,1
14791,,1
14792,me ,1
14793,and this ,0
14794,since what ,1
14795,,1
14796,,1
14797,laughing orphan cry ,1
14798,qanun ,1
14799,and tend and and tend ,0
14800,,1
